ID,Cnumber,RegionID,RegionName,Type,SubType,Category,ReEst_Subsidy2009,NewData,Developed,HDI_2005,Countries,%SSFsubsidies_assessed,weighted_by_sectorsize,Data_group,%SSF_totalCatch_EEZ,%SSF_totalCatch_Country,SSF_USD_1000
822,356,2,Asia,A3,MPAs,Good,1781.8437348816,FALSE,Developing,0.619,India,42.381331336,TRUE,3,42.381331336,41.4984071689,755.1690971702
823,356,2,Asia,B1,Boat constsruct.  and  renov.,Bad,4035.3954117,TRUE,Developing,0.619,India,0,FALSE,2,42.381331336,41.4984071689,0
824,356,2,Asia,B2,Fisheries dev. projects,Bad,3751.3347467797,TRUE,Developing,0.619,India,20,FALSE,1,42.381331336,41.4984071689,750.2669493559
825,356,2,Asia,B3,Fishing port develop.,Bad,4062.0299325,TRUE,Developing,0.619,India,17,FALSE,1,42.381331336,41.4984071689,690.545088525
826,356,2,Asia,B4,Markt.  and  storage infrast.,Bad,4035.3954117,TRUE,Developing,0.619,India,25,FALSE,1,42.381331336,41.4984071689,1008.848852925
827,356,2,Asia,B5,Tax exemption,Bad,123957.406260947,FALSE,Developing,0.619,India,20,FALSE,1,42.381331336,41.4984071689,24791.4812521894
828,356,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,0.619,India,NaN,NaN,NaN,42.381331336,41.4984071689,#VALUE!
830,356,2,Asia,C1,Fisher assistance,Ugly,5084.5985070639,TRUE,Developing,0.619,India,41.4984071689,TRUE,3,42.381331336,41.4984071689,2110.0273913645
831,356,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.619,India,NaN,NaN,NaN,42.381331336,41.4984071689,#VALUE!
832,356,2,Asia,C3,Rural fisher communities,Ugly,2905.4850328,TRUE,Developing,0.619,India,100,FALSE,1,42.381331336,41.4984071689,2905.4850328
1756,764,2,Asia,A1,Fisheries mangt.,Good,18538.6409091593,FALSE,Developing,0.781,Thailand,42.279905047,TRUE,3,42.279905047,13.5603038779,7838.1197733895
1757,764,2,Asia,A2,Fishery R and D,Good,2067.7876461714,FALSE,Developing,0.781,Thailand,13.5603038779,TRUE,3,42.279905047,13.5603038779,280.3982883709
1758,764,2,Asia,A3,MPAs,Good,2884.4112507705,FALSE,Developing,0.781,Thailand,42.279905047,TRUE,3,42.279905047,13.5603038779,1219.5263379896
1759,764,2,Asia,B1,Boat constsruct.  and  renov.,Bad,58456.068748407,FALSE,Developing,0.781,Thailand,25,FALSE,1,42.279905047,13.5603038779,14614.0171871018
1760,764,2,Asia,B2,Fisheries dev. projects,Bad,242.9349855058,TRUE,Developing,0.781,Thailand,13.5603038779,TRUE,3,42.279905047,13.5603038779,32.9427222604
1761,764,2,Asia,B3,Fishing port develop.,Bad,8015.8527231,TRUE,Developing,0.781,Thailand,0,FALSE,2,42.279905047,13.5603038779,0
1762,764,2,Asia,B4,Markt.  and  storage infrast.,Bad,58200.5320069671,FALSE,Developing,0.781,Thailand,13.5603038779,TRUE,3,42.279905047,13.5603038779,7892.1689987104
1763,764,2,Asia,B5,Tax exemption,Bad,81492.7530167311,FALSE,Developing,0.781,Thailand,25,FALSE,1,42.279905047,13.5603038779,20373.1882541828
1764,764,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,0.781,Thailand,,NaN,NaN,42.279905047,13.5603038779,0
1766,764,2,Asia,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.781,Thailand,,NaN,NaN,42.279905047,13.5603038779,0
1767,764,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.781,Thailand,,NaN,NaN,42.279905047,13.5603038779,0
1768,764,2,Asia,C3,Rural fisher communities,Ugly,19116.6707849494,FALSE,Developing,0.781,Thailand,100,FALSE,1,42.279905047,13.5603038779,19116.6707849494
1223,516,3,Africa,A1,Fisheries mangt.,Good,21648.1197435321,FALSE,Developing,0.65,Namibia,0,FALSE,1,0,0,0
1224,516,3,Africa,A2,Fishery R and D,Good,15399.5890058904,FALSE,Developing,0.65,Namibia,0,FALSE,1,0,0,0
1225,516,3,Africa,A3,MPAs,Good,,FALSE,Developing,0.65,Namibia,NaN,NaN,NaN,0,0,#VALUE!
1226,516,3,Africa,B1,Boat constsruct.  and  renov.,Bad,0,FALSE,Developing,0.65,Namibia,NaN,NaN,NaN,0,0,#VALUE!
1227,516,3,Africa,B2,Fisheries dev. projects,Bad,2847.3670445603,TRUE,Developing,0.65,Namibia,0,FALSE,1,0,0,0
1228,516,3,Africa,B3,Fishing port develop.,Bad,0,FALSE,Developing,0.65,Namibia,NaN,NaN,NaN,0,0,#VALUE!
1229,516,3,Africa,B4,Markt.  and  storage infrast.,Bad,11827.7191926765,FALSE,Developing,0.65,Namibia,0,FALSE,1,0,0,0
1230,516,3,Africa,B5,Tax exemption,Bad,0,FALSE,Developing,0.65,Namibia,NaN,NaN,NaN,0,0,#VALUE!
1231,516,3,Africa,B6,Fishing access,Bad,0,FALSE,Developing,0.65,Namibia,NaN,NaN,NaN,0,0,#VALUE!
1233,516,3,Africa,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.65,Namibia,NaN,NaN,NaN,0,0,#VALUE!
1234,516,3,Africa,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.65,Namibia,NaN,NaN,NaN,0,0,#VALUE!
1235,516,3,Africa,C3,Rural fisher communities,Ugly,0,FALSE,Developing,0.65,Namibia,NaN,NaN,NaN,0,0,#VALUE!
1327,583,5,Oceania,A1,Fisheries mangt.,Good,278478.208183383,FALSE,Developing,0.569,Micronesia,0,0,2,8.5015594193,38.3435582822,0
1328,583,5,Oceania,A2,Fishery R and D,Good,198098.052200852,FALSE,Developing,0.569,Micronesia,4.3,0,2,8.5015594193,38.3435582822,8518.2162446366
1329,583,5,Oceania,A3,MPAs,Good,10066.6737300921,FALSE,Developing,0.569,Micronesia,8.5440874915,TRUE,3,8.5015594193,38.3435582822,860.1054109785
1330,583,5,Oceania,B1,Boat constsruct.  and  renov.,Bad,53445.0251535267,FALSE,Developing,0.569,Micronesia,0,0,2,8.5015594193,38.3435582822,0
1331,583,5,Oceania,B2,Fisheries dev. projects,Bad,111071.82144474,FALSE,Developing,0.569,Micronesia,26,FALSE,1,8.5015594193,38.3435582822,28878.6735756324
1332,583,5,Oceania,B3,Fishing port develop.,Bad,88808.1111316979,FALSE,Developing,0.569,Micronesia,0,FALSE,2,8.5015594193,38.3435582822,0
1333,583,5,Oceania,B4,Markt.  and  storage infrast.,Bad,1236111.39720195,FALSE,Developing,0.569,Micronesia,0,FALSE,2,8.5015594193,38.3435582822,0
1334,583,5,Oceania,B5,Tax exemption,Bad,0,FALSE,Developing,0.569,Micronesia,,NaN,NaN,8.5015594193,38.3435582822,0
1335,583,5,Oceania,B6,Fishing access,Bad,0,FALSE,Developing,0.569,Micronesia,,NaN,NaN,8.5015594193,38.3435582822,0
1337,583,5,Oceania,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.569,Micronesia,,NaN,NaN,8.5015594193,38.3435582822,0
1338,583,5,Oceania,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.569,Micronesia,,NaN,NaN,8.5015594193,38.3435582822,0
1339,583,5,Oceania,C3,Rural fisher communities,Ugly,0,FALSE,Developing,0.569,Micronesia,,NaN,NaN,8.5015594193,38.3435582822,0
1405,604,4,"South, Central America and Carribbean",A1,Fisheries mangt.,Good,78172.374056628,FALSE,Developing,0.773,Peru,8.5523842962,TRUE,3,8.5960488356,9.3344131991,6685.601842771
1406,604,4,"South, Central America and Carribbean",A2,Fishery R and D,Good,3515.1650260496,FALSE,Developing,0.773,Peru,25,FALSE,1,8.5960488356,9.3344131991,878.7912565124
1407,604,4,"South, Central America and Carribbean",A3,MPAs,Good,848.3621049228,FALSE,Developing,0.773,Peru,8.5523842962,TRUE,3,8.5960488356,9.3344131991,72.5551874362
1408,604,4,"South, Central America and Carribbean",B1,Boat constsruct.  and  renov.,Bad,153392.009491374,FALSE,Developing,0.773,Peru,25,FALSE,2,8.5960488356,9.3344131991,38348.0023728435
1409,604,4,"South, Central America and Carribbean",B2,Fisheries dev. projects,Bad,1222.0890522032,TRUE,Developing,0.773,Peru,0,FALSE,2,8.5960488356,9.3344131991,0
1410,604,4,"South, Central America and Carribbean",B3,Fishing port develop.,Bad,8013.9623609296,FALSE,Developing,0.773,Peru,78,FALSE,1,8.5960488356,9.3344131991,6250.8906415251
1411,604,4,"South, Central America and Carribbean",B4,Markt.  and  storage infrast.,Bad,1506.4992968784,FALSE,Developing,0.773,Peru,9.3344131991,TRUE,2,8.5960488356,9.3344131991,140.6228692126
1412,604,4,"South, Central America and Carribbean",B5,Tax exemption,Bad,0,FALSE,Developing,0.773,Peru,NaN,NaN,NaN,8.5960488356,9.3344131991,#VALUE!
1413,604,4,"South, Central America and Carribbean",B6,Fishing access,Bad,0,FALSE,Developing,0.773,Peru,NaN,NaN,NaN,8.5960488356,9.3344131991,#VALUE!
1415,604,4,"South, Central America and Carribbean",C1,Fisher assistance,Ugly,0,FALSE,Developing,0.773,Peru,NaN,NaN,NaN,8.5960488356,9.3344131991,#VALUE!
1416,604,4,"South, Central America and Carribbean",C2,Vessel buyback,Ugly,0,FALSE,Developing,0.773,Peru,NaN,NaN,NaN,8.5960488356,9.3344131991,#VALUE!
1417,604,4,"South, Central America and Carribbean",C3,Rural fisher communities,Ugly,11304.3250510668,FALSE,Developing,0.773,Peru,9.3344131991,1,3,8.5960488356,9.3344131991,1055.1924096389
833,360,2,Asia,A1,Fisheries mangt.,Good,51714.932259,TRUE,Developing,0.728,Indonesia,22.3238700626,TRUE,3,22.3238700626,10.8,11544.7742804419
834,360,2,Asia,A2,Fishery R and D,Good,100656.532711534,FALSE,Developing,0.728,Indonesia,10.8,1,2,22.3238700626,10.8,10870.9055328457
835,360,2,Asia,A3,MPAs,Good,15838.8621265866,FALSE,Developing,0.728,Indonesia,22.3238700626,TRUE,3,22.3238700626,10.8,3535.8470005278
836,360,2,Asia,B1,Boat constsruct.  and  renov.,Bad,0,FALSE,Developing,0.728,Indonesia,N/A,NaN,NaN,22.3238700626,10.8,#VALUE!
837,360,2,Asia,B2,Fisheries dev. projects,Bad,34071.2847465392,FALSE,Developing,0.728,Indonesia,30.3949471714,TRUE,2,22.3238700626,10.8,10355.948999338
838,360,2,Asia,B3,Fishing port develop.,Bad,197416.615590147,FALSE,Developing,0.728,Indonesia,0,FALSE,2,22.3238700626,10.8,0
839,360,2,Asia,B4,Markt.  and  storage infrast.,Bad,3896.599907,TRUE,Developing,0.728,Indonesia,16,FALSE,1,22.3238700626,10.8,623.45598512
840,360,2,Asia,B5,Tax exemption,Bad,0,FALSE,Developing,0.728,Indonesia,N/A,NaN,NaN,22.3238700626,10.8,#VALUE!
841,360,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,0.728,Indonesia,N/A,NaN,NaN,22.3238700626,10.8,#VALUE!
843,360,2,Asia,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.728,Indonesia,N/A,NaN,NaN,22.3238700626,10.8,#VALUE!
844,360,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.728,Indonesia,N/A,NaN,NaN,22.3238700626,10.8,#VALUE!
845,360,2,Asia,C3,Rural fisher communities,Ugly,19146.3866051211,FALSE,Developing,0.728,Indonesia,100,FALSE,1,22.3238700626,10.8,19146.3866051211
1639,704,2,Asia,A1,Fisheries mangt.,Good,154459.450736083,FALSE,Developing,,Viet NaNm,31.8296258997,TRUE,3,31.8337318093,37.1089163616,49163.8653360371
1640,704,2,Asia,A2,Fishery R and D,Good,109494.457636111,FALSE,Developing,,Viet NaNm,37.1089163616,TRUE,3,31.8337318093,37.1089163616,40632.2067048018
1641,704,2,Asia,A3,MPAs,Good,1877.5562838814,FALSE,Developing,,Viet NaNm,31.8296258997,TRUE,3,31.8337318093,37.1089163616,597.6191412159
1642,704,2,Asia,B1,Boat constsruct.  and  renov.,Bad,334342.418187527,FALSE,Developing,,Viet NaNm,0,FALSE,2,31.8337318093,37.1089163616,0
1643,704,2,Asia,B2,Fisheries dev. projects,Bad,49075.9545598554,TRUE,Developing,,Viet NaNm,37.1089163616,TRUE,3,31.8337318093,37.1089163616,18211.5549312869
1644,704,2,Asia,B3,Fishing port develop.,Bad,1318.0162884,TRUE,Developing,,Viet NaNm,0,FALSE,2,31.8337318093,37.1089163616,0
1645,704,2,Asia,B4,Markt.  and  storage infrast.,Bad,0,FALSE,Developing,,Viet NaNm,NaN,NaN,NaN,31.8337318093,37.1089163616,#VALUE!
1646,704,2,Asia,B5,Tax exemption,Bad,0,FALSE,Developing,,Viet NaNm,NaN,NaN,NaN,31.8337318093,37.1089163616,#VALUE!
1647,704,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,,Viet NaNm,NaN,NaN,NaN,31.8337318093,37.1089163616,#VALUE!
1649,704,2,Asia,C1,Fisher assistance,Ugly,0,FALSE,Developing,,Viet NaNm,NaN,NaN,NaN,31.8337318093,37.1089163616,#VALUE!
1650,704,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,,Viet NaNm,NaN,NaN,NaN,31.8337318093,37.1089163616,#VALUE!
1651,704,2,Asia,C3,Rural fisher communities,Ugly,0,FALSE,Developing,,Viet NaNm,NaN,NaN,NaN,31.8337318093,37.1089163616,#VALUE!
222,104,2,Asia,A1,Fisheries mangt.,Good,143062.401309256,FALSE,Developing,0.583,Myanmar,20.8137635287,1,3,20.8137635287,31.7597569526,29776.6699069755
223,104,2,Asia,A2,Fishery R and D,Good,101768.74060565,FALSE,Developing,0.583,Myanmar,31.7597569526,1,3,20.8137635287,31.7597569526,32321.5046700347
224,104,2,Asia,A3,MPAs,Good,4522.3701722151,FALSE,Developing,0.583,Myanmar,20.8137635287,1,3,20.8137635287,31.7597569526,941.2754335369
225,104,2,Asia,B1,Boat constsruct.  and  renov.,Bad,0,FALSE,Developing,0.583,Myanmar,NaN,NaN,NaN,20.8137635287,31.7597569526,#VALUE!
226,104,2,Asia,B2,Fisheries dev. projects,Bad,7.9919706963,TRUE,Developing,0.583,Myanmar,31.7597569526,TRUE,3,20.8137635287,31.7597569526,2.5382304689
227,104,2,Asia,B3,Fishing port develop.,Bad,0,FALSE,Developing,0.583,Myanmar,NaN,NaN,NaN,20.8137635287,31.7597569526,#VALUE!
228,104,2,Asia,B4,Markt.  and  storage infrast.,Bad,78163.9284272262,FALSE,Developing,0.583,Myanmar,0,FALSE,2,20.8137635287,31.7597569526,0
229,104,2,Asia,B5,Tax exemption,Bad,0,FALSE,Developing,0.583,Myanmar,NaN,NaN,NaN,20.8137635287,31.7597569526,#VALUE!
230,104,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,0.583,Myanmar,NaN,NaN,NaN,20.8137635287,31.7597569526,#VALUE!
232,104,2,Asia,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.583,Myanmar,NaN,NaN,NaN,20.8137635287,31.7597569526,#VALUE!
233,104,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.583,Myanmar,NaN,NaN,NaN,20.8137635287,31.7597569526,#VALUE!
234,104,2,Asia,C3,Rural fisher communities,Ugly,20687.9216790498,FALSE,Developing,0.583,Myanmar,100,FALSE,3,20.8137635287,31.7597569526,20687.9216790498
1301,566,3,Africa,A1,Fisheries mangt.,Good,26920.071630703,FALSE,Developing,0.47,Nigeria,24.8,1,2,66.6160273452,68.1562074995,6676.1777644144
1302,566,3,Africa,A2,Fishery R and D,Good,17603.5515649794,FALSE,Developing,0.47,Nigeria,68.1562074995,TRUE,3,66.6160273452,68.1562074995,11997.9131319114
1303,566,3,Africa,A3,MPAs,Good,,FALSE,Developing,0.47,Nigeria,NaN,NaN,NaN,66.6160273452,68.1562074995,#VALUE!
1304,566,3,Africa,B1,Boat constsruct.  and  renov.,Bad,0,FALSE,Developing,0.47,Nigeria,NaN,NaN,NaN,66.6160273452,68.1562074995,#VALUE!
1305,566,3,Africa,B2,Fisheries dev. projects,Bad,1023.8027286488,FALSE,Developing,0.47,Nigeria,50,FALSE,1,66.6160273452,68.1562074995,511.9013643244
1306,566,3,Africa,B3,Fishing port develop.,Bad,0,FALSE,Developing,0.47,Nigeria,NaN,NaN,NaN,66.6160273452,68.1562074995,#VALUE!
1307,566,3,Africa,B4,Markt.  and  storage infrast.,Bad,0,FALSE,Developing,0.47,Nigeria,NaN,NaN,NaN,66.6160273452,68.1562074995,#VALUE!
1308,566,3,Africa,B5,Tax exemption,Bad,0,FALSE,Developing,0.47,Nigeria,NaN,NaN,NaN,66.6160273452,68.1562074995,#VALUE!
1309,566,3,Africa,B6,Fishing access,Bad,0,FALSE,Developing,0.47,Nigeria,NaN,NaN,NaN,66.6160273452,68.1562074995,#VALUE!
1311,566,3,Africa,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.47,Nigeria,NaN,NaN,NaN,66.6160273452,68.1562074995,#VALUE!
1312,566,3,Africa,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.47,Nigeria,NaN,NaN,NaN,66.6160273452,68.1562074995,#VALUE!
1313,566,3,Africa,C3,Rural fisher communities,Ugly,1959.4354509474,FALSE,Developing,0.47,Nigeria,100,FALSE,3,66.6160273452,68.1562074995,1959.4354509474
677,288,3,Africa,A1,Fisheries mangt.,Good,10133.8841453285,FALSE,Developing,0.553,GhaNaN,45.1,1,2,56.4675547916,51.5496273048,4570.3817495432
678,288,3,Africa,A2,Fishery R and D,Good,5513.478778433,FALSE,Developing,0.553,GhaNaN,51.5496273048,TRUE,3,56.4675547916,51.5496273048,2842.1777618129
679,288,3,Africa,A3,MPAs,Good,,FALSE,Developing,0.553,GhaNaN,NaN,NaN,NaN,56.4675547916,51.5496273048,#VALUE!
680,288,3,Africa,B1,Boat constsruct.  and  renov.,Bad,1668.7991048083,FALSE,Developing,0.553,GhaNaN,51.5496273048,TRUE,2,56.4675547916,51.5496273048,860.2597189949
681,288,3,Africa,B2,Fisheries dev. projects,Bad,2332.7399602906,TRUE,Developing,0.553,GhaNaN,75,FALSE,1,56.4675547916,51.5496273048,1749.554970218
682,288,3,Africa,B3,Fishing port develop.,Bad,29600,TRUE,Developing,0.553,GhaNaN,51.5496273048,TRUE,2,56.4675547916,51.5496273048,15258.6896822283
683,288,3,Africa,B4,Markt.  and  storage infrast.,Bad,27.6760222796,FALSE,Developing,0.553,GhaNaN,51.5496273048,TRUE,3,56.4675547916,51.5496273048,14.2668863379
684,288,3,Africa,B5,Tax exemption,Bad,0,FALSE,Developing,0.553,GhaNaN,NaN,NaN,NaN,56.4675547916,51.5496273048,#VALUE!
685,288,3,Africa,B6,Fishing access,Bad,0,FALSE,Developing,0.553,GhaNaN,NaN,NaN,NaN,56.4675547916,51.5496273048,#VALUE!
687,288,3,Africa,C1,Fisher assistance,Ugly,471.6113114948,TRUE,Developing,0.553,GhaNaN,100,FALSE,2,56.4675547916,51.5496273048,471.6113114948
688,288,3,Africa,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.553,GhaNaN,NaN,NaN,NaN,56.4675547916,51.5496273048,#VALUE!
689,288,3,Africa,C3,Rural fisher communities,Ugly,1120.8001640409,FALSE,Developing,0.553,GhaNaN,100,FALSE,3,56.4675547916,51.5496273048,1120.8001640409
1392,598,5,Oceania,A1,Fisheries mangt.,Good,115885.679128059,FALSE,Developing,,Papua N Guin,0,FALSE,2,9.4004762183,15.6401944895,0
1393,598,5,Oceania,A2,Fishery R and D,Good,82436.3528464578,FALSE,Developing,,Papua N Guin,4.7,1,2,9.4004762183,15.6401944895,3874.5085837835
1394,598,5,Oceania,A3,MPAs,Good,1191.6986849907,FALSE,Developing,,Papua N Guin,9.4054580897,TRUE,3,9.4004762183,15.6401944895,112.0847203719
1395,598,5,Oceania,B1,Boat constsruct.  and  renov.,Bad,224901.549998598,FALSE,Developing,,Papua N Guin,0,FALSE,2,9.4004762183,15.6401944895,0
1396,598,5,Oceania,B2,Fisheries dev. projects,Bad,34506.4227183337,TRUE,Developing,,Papua N Guin,4.7,1,2,9.4004762183,15.6401944895,1621.8018677617
1397,598,5,Oceania,B3,Fishing port develop.,Bad,0,FALSE,Developing,,Papua N Guin,NaN,NaN,NaN,9.4004762183,15.6401944895,#VALUE!
1398,598,5,Oceania,B4,Markt.  and  storage infrast.,Bad,63315.5970723857,FALSE,Developing,,Papua N Guin,0,FALSE,2,9.4004762183,15.6401944895,0
1399,598,5,Oceania,B5,Tax exemption,Bad,71437.7808819457,FALSE,Developing,,Papua N Guin,0,FALSE,2,9.4004762183,15.6401944895,0
1400,598,5,Oceania,B6,Fishing access,Bad,0,FALSE,Developing,,Papua N Guin,NaN,NaN,NaN,9.4004762183,15.6401944895,#VALUE!
1402,598,5,Oceania,C1,Fisher assistance,Ugly,0,FALSE,Developing,,Papua N Guin,NaN,NaN,NaN,9.4004762183,15.6401944895,#VALUE!
1403,598,5,Oceania,C2,Vessel buyback,Ugly,0,FALSE,Developing,,Papua N Guin,NaN,NaN,NaN,9.4004762183,15.6401944895,#VALUE!
1404,598,5,Oceania,C3,Rural fisher communities,Ugly,16757.9596223088,FALSE,Developing,,Papua N Guin,15.6401944895,TRUE,2,9.4004762183,15.6401944895,2620.9774773952
1691,724,1,Europe,A1,Fisheries mangt.,Good,71933.7051541623,TRUE,Developed,0.949,Spain,5.2,1,2,7.7887835816,2.6647198394,3740.5526680164
1692,724,1,Europe,A2,Fishery R and D,Good,17870.5545104023,TRUE,Developed,0.949,Spain,2.6647198394,TRUE,3,7.7887835816,2.6647198394,476.2002114471
1693,724,1,Europe,A3,MPAs,Good,8805.2855249771,FALSE,Developed,0.949,Spain,7.7887835816,TRUE,3,7.7887835816,2.6647198394,685.8246332787
1694,724,1,Europe,B1,Boat constsruct.  and  renov.,Bad,269786.471403776,TRUE,Developed,0.949,Spain,1.1,1,2,7.7887835816,2.6647198394,2967.6511854415
1695,724,1,Europe,B2,Fisheries dev. projects,Bad,96718.5939406626,TRUE,Developed,0.949,Spain,1.3,1,2,7.7887835816,2.6647198394,1257.3417212286
1696,724,1,Europe,B3,Fishing port develop.,Bad,30764.5317591051,FALSE,Developed,0.949,Spain,0,FALSE,2,7.7887835816,2.6647198394,0
1697,724,1,Europe,B4,Markt.  and  storage infrast.,Bad,134579.278509774,TRUE,Developed,0.949,Spain,2.6647198394,TRUE,3,7.7887835816,2.6647198394,3586.1607341535
1698,724,1,Europe,B5,Tax exemption,Bad,0,FALSE,Developed,0.949,Spain,NaN,NaN,NaN,7.7887835816,2.6647198394,#VALUE!
1699,724,1,Europe,B6,Fishing access,Bad,73609.0696395125,TRUE,Developed,0.949,Spain,0,FALSE,1,7.7887835816,2.6647198394,0
1701,724,1,Europe,C1,Fisher assistance,Ugly,56220.5644462051,TRUE,Developed,0.949,Spain,35.1,1,2,7.7887835816,2.6647198394,19733.418120618
1702,724,1,Europe,C2,Vessel buyback,Ugly,291779.755799122,FALSE,Developed,0.949,Spain,0,FALSE,3,7.7887835816,2.6647198394,0
1703,724,1,Europe,C3,Rural fisher communities,Ugly,0,FALSE,Developed,0.949,Spain,NaN,NaN,NaN,7.7887835816,2.6647198394,#VALUE!
1431,616,1,Europe,A1,Fisheries mangt.,Good,88671.5987097804,TRUE,Developed,0.87,Poland,11.9444444444,TRUE,3,11.9444444444,3.7489102005,10591.3298458904
1432,616,1,Europe,A2,Fishery R and D,Good,1430.8668490139,TRUE,Developed,0.87,Poland,3.7489102005,TRUE,3,11.9444444444,3.7489102005,53.6419132586
1433,616,1,Europe,A3,MPAs,Good,1864.8765789735,FALSE,Developed,0.87,Poland,11.9444444444,TRUE,3,11.9444444444,3.7489102005,222.7491469329
1434,616,1,Europe,B1,Boat constsruct.  and  renov.,Bad,213806.237020561,TRUE,Developed,0.87,Poland,3.7489102005,TRUE,3,11.9444444444,3.7489102005,8015.4038290184
1435,616,1,Europe,B2,Fisheries dev. projects,Bad,0,TRUE,Developed,0.87,Poland,NaN,NaN,NaN,11.9444444444,3.7489102005,#VALUE!
1436,616,1,Europe,B3,Fishing port develop.,Bad,760.61494741,TRUE,Developed,0.87,Poland,3.7489102005,TRUE,3,11.9444444444,3.7489102005,28.5147713502
1437,616,1,Europe,B4,Markt.  and  storage infrast.,Bad,45130.6517707899,TRUE,Developed,0.87,Poland,3.7489102005,TRUE,3,11.9444444444,3.7489102005,1691.9076077977
1438,616,1,Europe,B5,Tax exemption,Bad,0,FALSE,Developed,0.87,Poland,NaN,NaN,NaN,11.9444444444,3.7489102005,#VALUE!
1439,616,1,Europe,B6,Fishing access,Bad,2164.3597580229,TRUE,Developed,0.87,Poland,0,NaN,NaN,11.9444444444,3.7489102005,0
1441,616,1,Europe,C1,Fisher assistance,Ugly,441.4349256408,TRUE,Developed,0.87,Poland,3.7489102005,TRUE,3,11.9444444444,3.7489102005,16.548998956
1442,616,1,Europe,C2,Vessel buyback,Ugly,38865.3609637,TRUE,Developed,0.87,Poland,0,FALSE,2,11.9444444444,3.7489102005,0
1443,616,1,Europe,C3,Rural fisher communities,Ugly,0,FALSE,Developed,0.87,Poland,NaN,NaN,NaN,11.9444444444,3.7489102005,#VALUE!
