ID,Cnumber,RegionID,RegionName,Type,SubType,Category,ReEst_Subsidy2009,NewData,Developed,HDI_2005,Countries,%SSFsubsidies_assessed,weighted_by_sectorsize,Data_group,%SSF_totalCatch_EEZ,%SSF_totalCatch_Country,%SSF_decimal,SSF_USD_1000,Comment,DocSource,SourceVisitDate,Ref,URL,User,OldComment
1429,608,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.771,Philippines,NA,NA,NA,28.6624203822,25.4755019753,0.2866242038,#VALUE!,,,,,,,
1430,608,2,Asia,C3,Rural fisher communities,Ugly,21737.0445192869,FALSE,Developing,0.771,Philippines,100,FALSE,1,28.6624203822,25.4755019753,0.2866242038,21737.0445192869,"a.khan: fy 2002 Ahmed, M. et al. 2002. Small scale fisher integrated development support programs. ----------- fy 2005 FAO country",,Last visitd 25/06/06,,profile-http://www.fao.org/fi/fcp/en/PHL/profile.htm,,
820,356,2,Asia,A1,Fisheries mangt.,Good,6450.2381397706,TRUE,Developing,0.619,India,42.381331336,TRUE,3,42.381331336,41.4984071689,0.4238133134,2733.6967979783,,,,,,,
821,356,2,Asia,A2,Fishery R&D,Good,2179.1134742639,TRUE,Developing,0.619,India,41.4984071689,TRUE,3,42.381331336,41.4984071689,0.4238133134,904.2973822221,,,,,,,
822,356,2,Asia,A3,MPAs,Good,1781.8437348816,FALSE,Developing,0.619,India,42.381331336,TRUE,3,42.381331336,41.4984071689,0.4238133134,755.1690971702,,,,,,,
823,356,2,Asia,B1,Boat constsruct. & renov.,Bad,4035.3954117,TRUE,Developing,0.619,India,0,FALSE,2,42.381331336,41.4984071689,0.4238133134,0,,,,,,,
824,356,2,Asia,B2,Fisheries dev. projects,Bad,3751.3347467797,TRUE,Developing,0.619,India,20,FALSE,1,42.381331336,41.4984071689,0.4238133134,750.2669493559,,,,,,,
825,356,2,Asia,B3,Fishing port develop.,Bad,4062.0299325,TRUE,Developing,0.619,India,17,FALSE,1,42.381331336,41.4984071689,0.4238133134,690.545088525,,,,,,,
826,356,2,Asia,B4,Markt. & storage infrast.,Bad,4035.3954117,TRUE,Developing,0.619,India,25,FALSE,1,42.381331336,41.4984071689,0.4238133134,1008.848852925,,,,,,,
827,356,2,Asia,B5,Tax exemption,Bad,123957.406260947,FALSE,Developing,0.619,India,20,FALSE,1,42.381331336,41.4984071689,0.4238133134,24791.4812521894,,,,,,,
828,356,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,0.619,India,NA,NA,NA,42.381331336,41.4984071689,0.4238133134,#VALUE!,,,,,,,
830,356,2,Asia,C1,Fisher assistance,Ugly,5084.5985070639,TRUE,Developing,0.619,India,41.4984071689,TRUE,3,42.381331336,41.4984071689,0.4238133134,2110.0273913645,,,,,,,
831,356,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.619,India,NA,NA,NA,42.381331336,41.4984071689,0.4238133134,#VALUE!,,,,,,,
832,356,2,Asia,C3,Rural fisher communities,Ugly,2905.4850328,TRUE,Developing,0.619,India,100,FALSE,1,42.381331336,41.4984071689,0.4238133134,2905.4850328,,,,,,,
1756,764,2,Asia,A1,Fisheries mangt.,Good,18538.6409091593,FALSE,Developing,0.781,Thailand,42.279905047,TRUE,3,42.279905047,13.5603038779,0.4227990505,7838.1197733895,,,,,,,
1757,764,2,Asia,A2,Fishery R&D,Good,2067.7876461714,FALSE,Developing,0.781,Thailand,13.5603038779,TRUE,3,42.279905047,13.5603038779,0.4227990505,280.3982883709,,,,,,,
1758,764,2,Asia,A3,MPAs,Good,2884.4112507705,FALSE,Developing,0.781,Thailand,42.279905047,TRUE,3,42.279905047,13.5603038779,0.4227990505,1219.5263379896,,,,,,,
1759,764,2,Asia,B1,Boat constsruct. & renov.,Bad,58456.068748407,FALSE,Developing,0.781,Thailand,25,FALSE,1,42.279905047,13.5603038779,0.4227990505,14614.0171871018,,,,,,,
1760,764,2,Asia,B2,Fisheries dev. projects,Bad,242.9349855058,TRUE,Developing,0.781,Thailand,13.5603038779,TRUE,3,42.279905047,13.5603038779,0.4227990505,32.9427222604,,,,,,,
1761,764,2,Asia,B3,Fishing port develop.,Bad,8015.8527231,TRUE,Developing,0.781,Thailand,0,FALSE,2,42.279905047,13.5603038779,0.4227990505,0,,,,,,,
1762,764,2,Asia,B4,Markt. & storage infrast.,Bad,58200.5320069671,FALSE,Developing,0.781,Thailand,13.5603038779,TRUE,3,42.279905047,13.5603038779,0.4227990505,7892.1689987104,,,,,,,
1763,764,2,Asia,B5,Tax exemption,Bad,81492.7530167311,FALSE,Developing,0.781,Thailand,25,FALSE,1,42.279905047,13.5603038779,0.4227990505,20373.1882541828,,,,,,,
1764,764,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,0.781,Thailand,,NA,NA,42.279905047,13.5603038779,0.4227990505,0,,,,,,,
1766,764,2,Asia,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.781,Thailand,,NA,NA,42.279905047,13.5603038779,0.4227990505,0,,,,,,,
1767,764,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.781,Thailand,,NA,NA,42.279905047,13.5603038779,0.4227990505,0,,,,,,,
1768,764,2,Asia,C3,Rural fisher communities,Ugly,19116.6707849494,FALSE,Developing,0.781,Thailand,100,FALSE,1,42.279905047,13.5603038779,0.4227990505,19116.6707849494,,,,,,,
1223,516,3,Africa,A1,Fisheries mangt.,Good,21648.1197435321,FALSE,Developing,0.65,Namibia,0,FALSE,1,0,0,0,0,,,,,,,
1224,516,3,Africa,A2,Fishery R&D,Good,15399.5890058904,FALSE,Developing,0.65,Namibia,0,FALSE,1,0,0,0,0,,,,,,,
1225,516,3,Africa,A3,MPAs,Good,,FALSE,Developing,0.65,Namibia,NA,NA,NA,0,0,0,#VALUE!,,,,,,,
1226,516,3,Africa,B1,Boat constsruct. & renov.,Bad,0,FALSE,Developing,0.65,Namibia,NA,NA,NA,0,0,0,#VALUE!,,,,,,,
1227,516,3,Africa,B2,Fisheries dev. projects,Bad,2847.3670445603,TRUE,Developing,0.65,Namibia,0,FALSE,1,0,0,0,0,,,,,,,
1228,516,3,Africa,B3,Fishing port develop.,Bad,0,FALSE,Developing,0.65,Namibia,NA,NA,NA,0,0,0,#VALUE!,,,,,,,
1229,516,3,Africa,B4,Markt. & storage infrast.,Bad,11827.7191926765,FALSE,Developing,0.65,Namibia,0,FALSE,1,0,0,0,0,,,,,,,
1230,516,3,Africa,B5,Tax exemption,Bad,0,FALSE,Developing,0.65,Namibia,NA,NA,NA,0,0,0,#VALUE!,,,,,,,
1231,516,3,Africa,B6,Fishing access,Bad,0,FALSE,Developing,0.65,Namibia,NA,NA,NA,0,0,0,#VALUE!,,,,,,,
1233,516,3,Africa,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.65,Namibia,NA,NA,NA,0,0,0,#VALUE!,,,,,,,
1234,516,3,Africa,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.65,Namibia,NA,NA,NA,0,0,0,#VALUE!,,,,,,,
1235,516,3,Africa,C3,Rural fisher communities,Ugly,0,FALSE,Developing,0.65,Namibia,NA,NA,NA,0,0,0,#VALUE!,,,,,,,
1327,583,5,Oceania,A1,Fisheries mangt.,Good,278478.208183383,FALSE,Developing,0.569,Micronesia,0,0,2,8.5015594193,38.3435582822,0.0850155942,0,,,,,,,
1328,583,5,Oceania,A2,Fishery R&D,Good,198098.052200852,FALSE,Developing,0.569,Micronesia,4.3,0,2,8.5015594193,38.3435582822,0.0850155942,8518.2162446366,,,,,,,
1329,583,5,Oceania,A3,MPAs,Good,10066.6737300921,FALSE,Developing,0.569,Micronesia,8.5440874915,TRUE,3,8.5015594193,38.3435582822,0.0850155942,860.1054109785,,,,,,,
1330,583,5,Oceania,B1,Boat constsruct. & renov.,Bad,53445.0251535267,FALSE,Developing,0.569,Micronesia,0,0,2,8.5015594193,38.3435582822,0.0850155942,0,,,,,,,
1331,583,5,Oceania,B2,Fisheries dev. projects,Bad,111071.82144474,FALSE,Developing,0.569,Micronesia,26,FALSE,1,8.5015594193,38.3435582822,0.0850155942,28878.6735756324,,,,,,,
1332,583,5,Oceania,B3,Fishing port develop.,Bad,88808.1111316979,FALSE,Developing,0.569,Micronesia,0,FALSE,2,8.5015594193,38.3435582822,0.0850155942,0,,,,,,,
1333,583,5,Oceania,B4,Markt. & storage infrast.,Bad,1236111.39720195,FALSE,Developing,0.569,Micronesia,0,FALSE,2,8.5015594193,38.3435582822,0.0850155942,0,,,,,,,
1334,583,5,Oceania,B5,Tax exemption,Bad,0,FALSE,Developing,0.569,Micronesia,,NA,NA,8.5015594193,38.3435582822,0.0850155942,0,,,,,,,
1335,583,5,Oceania,B6,Fishing access,Bad,0,FALSE,Developing,0.569,Micronesia,,NA,NA,8.5015594193,38.3435582822,0.0850155942,0,,,,,,,
1337,583,5,Oceania,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.569,Micronesia,,NA,NA,8.5015594193,38.3435582822,0.0850155942,0,,,,,,,
1338,583,5,Oceania,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.569,Micronesia,,NA,NA,8.5015594193,38.3435582822,0.0850155942,0,,,,,,,
1339,583,5,Oceania,C3,Rural fisher communities,Ugly,0,FALSE,Developing,0.569,Micronesia,,NA,NA,8.5015594193,38.3435582822,0.0850155942,0,,,,,,,
1405,604,4,"South, Central America and Carribbean",A1,Fisheries mangt.,Good,78172.374056628,FALSE,Developing,0.773,Peru,8.5523842962,TRUE,3,8.5960488356,9.3344131991,0.0859604884,6685.601842771,,,,,,,
1406,604,4,"South, Central America and Carribbean",A2,Fishery R&D,Good,3515.1650260496,FALSE,Developing,0.773,Peru,25,FALSE,1,8.5960488356,9.3344131991,0.0859604884,878.7912565124,,,,,,,
1407,604,4,"South, Central America and Carribbean",A3,MPAs,Good,848.3621049228,FALSE,Developing,0.773,Peru,8.5523842962,TRUE,3,8.5960488356,9.3344131991,0.0859604884,72.5551874362,,,,,,,
1408,604,4,"South, Central America and Carribbean",B1,Boat constsruct. & renov.,Bad,153392.009491374,FALSE,Developing,0.773,Peru,25,FALSE,2,8.5960488356,9.3344131991,0.0859604884,38348.0023728435,,,,,,,
1409,604,4,"South, Central America and Carribbean",B2,Fisheries dev. projects,Bad,1222.0890522032,TRUE,Developing,0.773,Peru,0,FALSE,2,8.5960488356,9.3344131991,0.0859604884,0,,,,,,,
1410,604,4,"South, Central America and Carribbean",B3,Fishing port develop.,Bad,8013.9623609296,FALSE,Developing,0.773,Peru,78,FALSE,1,8.5960488356,9.3344131991,0.0859604884,6250.8906415251,,,,,,,
1411,604,4,"South, Central America and Carribbean",B4,Markt. & storage infrast.,Bad,1506.4992968784,FALSE,Developing,0.773,Peru,9.3344131991,TRUE,2,8.5960488356,9.3344131991,0.0859604884,140.6228692126,,,,,,,
1412,604,4,"South, Central America and Carribbean",B5,Tax exemption,Bad,0,FALSE,Developing,0.773,Peru,NA,NA,NA,8.5960488356,9.3344131991,0.0859604884,#VALUE!,,,,,,,
1413,604,4,"South, Central America and Carribbean",B6,Fishing access,Bad,0,FALSE,Developing,0.773,Peru,NA,NA,NA,8.5960488356,9.3344131991,0.0859604884,#VALUE!,,,,,,,
1415,604,4,"South, Central America and Carribbean",C1,Fisher assistance,Ugly,0,FALSE,Developing,0.773,Peru,NA,NA,NA,8.5960488356,9.3344131991,0.0859604884,#VALUE!,,,,,,,
1416,604,4,"South, Central America and Carribbean",C2,Vessel buyback,Ugly,0,FALSE,Developing,0.773,Peru,NA,NA,NA,8.5960488356,9.3344131991,0.0859604884,#VALUE!,,,,,,,
1417,604,4,"South, Central America and Carribbean",C3,Rural fisher communities,Ugly,11304.3250510668,FALSE,Developing,0.773,Peru,9.3344131991,1,3,8.5960488356,9.3344131991,0.0859604884,1055.1924096389,,,,,,,
833,360,2,Asia,A1,Fisheries mangt.,Good,51714.932259,TRUE,Developing,0.728,Indonesia,22.3238700626,TRUE,3,22.3238700626,10.8,0.2232387006,11544.7742804419,,,,,,,
834,360,2,Asia,A2,Fishery R&D,Good,100656.532711534,FALSE,Developing,0.728,Indonesia,10.8,1,2,22.3238700626,10.8,0.2232387006,10870.9055328457,,,,,,,
835,360,2,Asia,A3,MPAs,Good,15838.8621265866,FALSE,Developing,0.728,Indonesia,22.3238700626,TRUE,3,22.3238700626,10.8,0.2232387006,3535.8470005278,,,,,,,
836,360,2,Asia,B1,Boat constsruct. & renov.,Bad,0,FALSE,Developing,0.728,Indonesia,N/A,NA,NA,22.3238700626,10.8,0.2232387006,#VALUE!,,,,,,,
837,360,2,Asia,B2,Fisheries dev. projects,Bad,34071.2847465392,FALSE,Developing,0.728,Indonesia,30.3949471714,TRUE,2,22.3238700626,10.8,0.2232387006,10355.948999338,,,,,,,
838,360,2,Asia,B3,Fishing port develop.,Bad,197416.615590147,FALSE,Developing,0.728,Indonesia,0,FALSE,2,22.3238700626,10.8,0.2232387006,0,,,,,,,
839,360,2,Asia,B4,Markt. & storage infrast.,Bad,3896.599907,TRUE,Developing,0.728,Indonesia,16,FALSE,1,22.3238700626,10.8,0.2232387006,623.45598512,,,,,,,
840,360,2,Asia,B5,Tax exemption,Bad,0,FALSE,Developing,0.728,Indonesia,N/A,NA,NA,22.3238700626,10.8,0.2232387006,#VALUE!,,,,,,,
841,360,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,0.728,Indonesia,N/A,NA,NA,22.3238700626,10.8,0.2232387006,#VALUE!,,,,,,,
843,360,2,Asia,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.728,Indonesia,N/A,NA,NA,22.3238700626,10.8,0.2232387006,#VALUE!,,,,,,,
844,360,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.728,Indonesia,N/A,NA,NA,22.3238700626,10.8,0.2232387006,#VALUE!,,,,,,,
845,360,2,Asia,C3,Rural fisher communities,Ugly,19146.3866051211,FALSE,Developing,0.728,Indonesia,100,FALSE,1,22.3238700626,10.8,0.2232387006,19146.3866051211,,,,,,,
1639,704,2,Asia,A1,Fisheries mangt.,Good,154459.450736083,FALSE,Developing,,Viet Nam,31.8296258997,TRUE,3,31.8337318093,37.1089163616,0.3183373181,49163.8653360371,,,,,,,
1640,704,2,Asia,A2,Fishery R&D,Good,109494.457636111,FALSE,Developing,,Viet Nam,37.1089163616,TRUE,3,31.8337318093,37.1089163616,0.3183373181,40632.2067048018,,,,,,,
1641,704,2,Asia,A3,MPAs,Good,1877.5562838814,FALSE,Developing,,Viet Nam,31.8296258997,TRUE,3,31.8337318093,37.1089163616,0.3183373181,597.6191412159,,,,,,,
1642,704,2,Asia,B1,Boat constsruct. & renov.,Bad,334342.418187527,FALSE,Developing,,Viet Nam,0,FALSE,2,31.8337318093,37.1089163616,0.3183373181,0,,,,,,,
1643,704,2,Asia,B2,Fisheries dev. projects,Bad,49075.9545598554,TRUE,Developing,,Viet Nam,37.1089163616,TRUE,3,31.8337318093,37.1089163616,0.3183373181,18211.5549312869,,,,,,,
1644,704,2,Asia,B3,Fishing port develop.,Bad,1318.0162884,TRUE,Developing,,Viet Nam,0,FALSE,2,31.8337318093,37.1089163616,0.3183373181,0,,,,,,,
1645,704,2,Asia,B4,Markt. & storage infrast.,Bad,0,FALSE,Developing,,Viet Nam,NA,NA,NA,31.8337318093,37.1089163616,0.3183373181,#VALUE!,,,,,,,
1646,704,2,Asia,B5,Tax exemption,Bad,0,FALSE,Developing,,Viet Nam,NA,NA,NA,31.8337318093,37.1089163616,0.3183373181,#VALUE!,,,,,,,
1647,704,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,,Viet Nam,NA,NA,NA,31.8337318093,37.1089163616,0.3183373181,#VALUE!,,,,,,,
1649,704,2,Asia,C1,Fisher assistance,Ugly,0,FALSE,Developing,,Viet Nam,NA,NA,NA,31.8337318093,37.1089163616,0.3183373181,#VALUE!,,,,,,,
1650,704,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,,Viet Nam,NA,NA,NA,31.8337318093,37.1089163616,0.3183373181,#VALUE!,,,,,,,
1651,704,2,Asia,C3,Rural fisher communities,Ugly,0,FALSE,Developing,,Viet Nam,NA,NA,NA,31.8337318093,37.1089163616,0.3183373181,#VALUE!,,,,,,,
222,104,2,Asia,A1,Fisheries mangt.,Good,143062.401309256,FALSE,Developing,0.583,Myanmar,20.8137635287,1,3,20.8137635287,31.7597569526,0.2081376353,29776.6699069755,,,,,,,
223,104,2,Asia,A2,Fishery R&D,Good,101768.74060565,FALSE,Developing,0.583,Myanmar,31.7597569526,1,3,20.8137635287,31.7597569526,0.2081376353,32321.5046700347,,,,,,,
224,104,2,Asia,A3,MPAs,Good,4522.3701722151,FALSE,Developing,0.583,Myanmar,20.8137635287,1,3,20.8137635287,31.7597569526,0.2081376353,941.2754335369,,,,,,,
225,104,2,Asia,B1,Boat constsruct. & renov.,Bad,0,FALSE,Developing,0.583,Myanmar,NA,NA,NA,20.8137635287,31.7597569526,0.2081376353,#VALUE!,,,,,,,
226,104,2,Asia,B2,Fisheries dev. projects,Bad,7.9919706963,TRUE,Developing,0.583,Myanmar,31.7597569526,TRUE,3,20.8137635287,31.7597569526,0.2081376353,2.5382304689,,,,,,,
227,104,2,Asia,B3,Fishing port develop.,Bad,0,FALSE,Developing,0.583,Myanmar,NA,NA,NA,20.8137635287,31.7597569526,0.2081376353,#VALUE!,,,,,,,
228,104,2,Asia,B4,Markt. & storage infrast.,Bad,78163.9284272262,FALSE,Developing,0.583,Myanmar,0,FALSE,2,20.8137635287,31.7597569526,0.2081376353,0,,,,,,,
229,104,2,Asia,B5,Tax exemption,Bad,0,FALSE,Developing,0.583,Myanmar,NA,NA,NA,20.8137635287,31.7597569526,0.2081376353,#VALUE!,,,,,,,
230,104,2,Asia,B6,Fishing access,Bad,0,FALSE,Developing,0.583,Myanmar,NA,NA,NA,20.8137635287,31.7597569526,0.2081376353,#VALUE!,,,,,,,
232,104,2,Asia,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.583,Myanmar,NA,NA,NA,20.8137635287,31.7597569526,0.2081376353,#VALUE!,,,,,,,
233,104,2,Asia,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.583,Myanmar,NA,NA,NA,20.8137635287,31.7597569526,0.2081376353,#VALUE!,,,,,,,
234,104,2,Asia,C3,Rural fisher communities,Ugly,20687.9216790498,FALSE,Developing,0.583,Myanmar,100,FALSE,3,20.8137635287,31.7597569526,0.2081376353,20687.9216790498,,,,,,,
1301,566,3,Africa,A1,Fisheries mangt.,Good,26920.071630703,FALSE,Developing,0.47,Nigeria,24.8,1,2,66.6160273452,68.1562074995,0.6661602735,6676.1777644144,,,,,,,
1302,566,3,Africa,A2,Fishery R&D,Good,17603.5515649794,FALSE,Developing,0.47,Nigeria,68.1562074995,TRUE,3,66.6160273452,68.1562074995,0.6661602735,11997.9131319114,,,,,,,
1303,566,3,Africa,A3,MPAs,Good,,FALSE,Developing,0.47,Nigeria,NA,NA,NA,66.6160273452,68.1562074995,0.6661602735,#VALUE!,,,,,,,
1304,566,3,Africa,B1,Boat constsruct. & renov.,Bad,0,FALSE,Developing,0.47,Nigeria,NA,NA,NA,66.6160273452,68.1562074995,0.6661602735,#VALUE!,,,,,,,
1305,566,3,Africa,B2,Fisheries dev. projects,Bad,1023.8027286488,FALSE,Developing,0.47,Nigeria,50,FALSE,1,66.6160273452,68.1562074995,0.6661602735,511.9013643244,,,,,,,
1306,566,3,Africa,B3,Fishing port develop.,Bad,0,FALSE,Developing,0.47,Nigeria,NA,NA,NA,66.6160273452,68.1562074995,0.6661602735,#VALUE!,,,,,,,
1307,566,3,Africa,B4,Markt. & storage infrast.,Bad,0,FALSE,Developing,0.47,Nigeria,NA,NA,NA,66.6160273452,68.1562074995,0.6661602735,#VALUE!,,,,,,,
1308,566,3,Africa,B5,Tax exemption,Bad,0,FALSE,Developing,0.47,Nigeria,NA,NA,NA,66.6160273452,68.1562074995,0.6661602735,#VALUE!,,,,,,,
1309,566,3,Africa,B6,Fishing access,Bad,0,FALSE,Developing,0.47,Nigeria,NA,NA,NA,66.6160273452,68.1562074995,0.6661602735,#VALUE!,,,,,,,
1311,566,3,Africa,C1,Fisher assistance,Ugly,0,FALSE,Developing,0.47,Nigeria,NA,NA,NA,66.6160273452,68.1562074995,0.6661602735,#VALUE!,,,,,,,
1312,566,3,Africa,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.47,Nigeria,NA,NA,NA,66.6160273452,68.1562074995,0.6661602735,#VALUE!,,,,,,,
1313,566,3,Africa,C3,Rural fisher communities,Ugly,1959.4354509474,FALSE,Developing,0.47,Nigeria,100,FALSE,3,66.6160273452,68.1562074995,0.6661602735,1959.4354509474,,,,,,,
677,288,3,Africa,A1,Fisheries mangt.,Good,10133.8841453285,FALSE,Developing,0.553,Ghana,45.1,1,2,56.4675547916,51.5496273048,0.5646755479,4570.3817495432,,,,,,,
678,288,3,Africa,A2,Fishery R&D,Good,5513.478778433,FALSE,Developing,0.553,Ghana,51.5496273048,TRUE,3,56.4675547916,51.5496273048,0.5646755479,2842.1777618129,,,,,,,
679,288,3,Africa,A3,MPAs,Good,,FALSE,Developing,0.553,Ghana,NA,NA,NA,56.4675547916,51.5496273048,0.5646755479,#VALUE!,,,,,,,
680,288,3,Africa,B1,Boat constsruct. & renov.,Bad,1668.7991048083,FALSE,Developing,0.553,Ghana,51.5496273048,TRUE,2,56.4675547916,51.5496273048,0.5646755479,860.2597189949,,,,,,,
681,288,3,Africa,B2,Fisheries dev. projects,Bad,2332.7399602906,TRUE,Developing,0.553,Ghana,75,FALSE,1,56.4675547916,51.5496273048,0.5646755479,1749.554970218,,,,,,,
682,288,3,Africa,B3,Fishing port develop.,Bad,29600,TRUE,Developing,0.553,Ghana,51.5496273048,TRUE,2,56.4675547916,51.5496273048,0.5646755479,15258.6896822283,,,,,,,
683,288,3,Africa,B4,Markt. & storage infrast.,Bad,27.6760222796,FALSE,Developing,0.553,Ghana,51.5496273048,TRUE,3,56.4675547916,51.5496273048,0.5646755479,14.2668863379,,,,,,,
684,288,3,Africa,B5,Tax exemption,Bad,0,FALSE,Developing,0.553,Ghana,NA,NA,NA,56.4675547916,51.5496273048,0.5646755479,#VALUE!,,,,,,,
685,288,3,Africa,B6,Fishing access,Bad,0,FALSE,Developing,0.553,Ghana,NA,NA,NA,56.4675547916,51.5496273048,0.5646755479,#VALUE!,,,,,,,
687,288,3,Africa,C1,Fisher assistance,Ugly,471.6113114948,TRUE,Developing,0.553,Ghana,100,FALSE,2,56.4675547916,51.5496273048,0.5646755479,471.6113114948,,,,,,,
688,288,3,Africa,C2,Vessel buyback,Ugly,0,FALSE,Developing,0.553,Ghana,NA,NA,NA,56.4675547916,51.5496273048,0.5646755479,#VALUE!,,,,,,,
689,288,3,Africa,C3,Rural fisher communities,Ugly,1120.8001640409,FALSE,Developing,0.553,Ghana,100,FALSE,3,56.4675547916,51.5496273048,0.5646755479,1120.8001640409,,,,,,,
1392,598,5,Oceania,A1,Fisheries mangt.,Good,115885.679128059,FALSE,Developing,,Papua N Guin,0,FALSE,2,9.4004762183,15.6401944895,0.0940047622,0,,,,,,,
1393,598,5,Oceania,A2,Fishery R&D,Good,82436.3528464578,FALSE,Developing,,Papua N Guin,4.7,1,2,9.4004762183,15.6401944895,0.0940047622,3874.5085837835,,,,,,,
1394,598,5,Oceania,A3,MPAs,Good,1191.6986849907,FALSE,Developing,,Papua N Guin,9.4054580897,TRUE,3,9.4004762183,15.6401944895,0.0940047622,112.0847203719,,,,,,,
1395,598,5,Oceania,B1,Boat constsruct. & renov.,Bad,224901.549998598,FALSE,Developing,,Papua N Guin,0,FALSE,2,9.4004762183,15.6401944895,0.0940047622,0,,,,,,,
1396,598,5,Oceania,B2,Fisheries dev. projects,Bad,34506.4227183337,TRUE,Developing,,Papua N Guin,4.7,1,2,9.4004762183,15.6401944895,0.0940047622,1621.8018677617,,,,,,,
1397,598,5,Oceania,B3,Fishing port develop.,Bad,0,FALSE,Developing,,Papua N Guin,NA,NA,NA,9.4004762183,15.6401944895,0.0940047622,#VALUE!,,,,,,,
